"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"12938","ADIPOR2"
"12939","AC005343.1"
"12940","CACNA2D4"
"12941","DCP1B"
"12942","CACNA1C"
"12943","AC005342.1"
"12944","CACNA1C-AS1"
"12945","LINC02371"
"12946","FKBP4"
"12947","ITFG2-AS1"
"12948","ITFG2"
"12949","NRIP2"
"12950","TEX52"
"12951","FOXM1"
"12952","RHNO1"
"12953","TULP3"
"12954","AC005911.1"
"12955","TEAD4"
"12956","AC125807.2"
"12957","TSPAN9"
"12958","AC005912.2"
"12959","AC005865.2"
"12960","PRMT8"
"12961","CRACR2A"
"12962","PARP11"
"12963","AC084375.1"
"12964","CCND2-AS1"
"12965","CCND2"
"12966","TIGAR"
"12967","FGF23"
"12968","C12orf4"
"12969","RAD51AP1"
"12970","DYRK4"
"12971","AKAP3"
"12972","NDUFA9"
"12973","GAU1"
"12974","GALNT8"
"12975","AC005906.2"
"12976","NTF3"
"12977","ANO2"
"12978","VWF"
"12979","CD9"
"12980","PLEKHG6"
"12981","TNFRSF1A"
"12982","SCNN1A"
"12983","LTBR"
"12984","AC005840.2"
"12985","CD27-AS1"
"12986","TAPBPL"
"12987","VAMP1"
"12988","AC005840.4"
"12989","MRPL51"
"12990","NCAPD2"
"12991","IFFO1"
"12992","AC006064.1"
"12993","NOP2"
"12994","CHD4"
"12995","AC006064.2"
"12996","LPAR5"
"12997","ACRBP"
"12998","ING4"
"12999","AC125494.1"
"13000","ZNF384"
"13001","COPS7A"
"13002","AC125494.2"
"13003","MLF2"
"13004","PTMS"
"13005","CD4"
"13006","GPR162"
"13007","P3H3"
"13008","GNB3"
"13009","USP5"
"13010","TPI1"
"13011","SPSB2"
"13012","LRRC23"
"13013","U47924.3"
"13014","ENO2"
"13015","ATN1"
"13016","C12orf57"
"13017","PTPN6"
"13018","MIR200CHG"
"13019","U47924.1"
"13020","PHB2"
"13021","EMG1"
"13022","LPCAT3"
"13023","C1S"
"13024","C1R"
"13025","C1RL"
"13026","C1RL-AS1"
"13027","RBP5"
"13028","AC018653.3"
"13029","CLSTN3"
"13030","PEX5"
"13031","CD163L1"
"13032","NANOG"
"13033","SLC2A14"
"13034","SLC2A3"
"13035","AC006511.4"
"13036","FOXJ2"
"13037","NECAP1"
"13038","CLEC4A"
"13039","FAM66C"
"13040","AC092111.2"
"13041","AC092111.1"
"13042","FAM90A1"
"13043","LINC02449"
"13044","AC092745.5"
"13045","AC092745.4"
"13046","LINC00937"
"13047","CLEC6A"
"13048","CLEC4D"
"13049","MFAP5"
"13050","AC092490.2"
"13051","RIMKLB"
"13052","A2ML1-AS1"
"13053","A2ML1"
"13054","AC006581.2"
"13055","PHC1"
"13056","M6PR"
"13057","KLRG1"
"13058","LINC00612"
"13059","A2M-AS1"
"13060","A2M"
"13061","PZP"
"13062","LINC00987"
"13063","AC010175.1"
"13064","LINC02367"
"13065","AC092821.3"
"13066","AC010186.3"
"13067","CLEC2D"
"13068","KLRF1"
"13069","CLEC2B"
"13070","AC091814.1"
"13071","CLEC9A"
"13072","CLEC1A"
"13073","TMEM52B"
"13074","GABARAPL1"
"13075","KLRD1"
"13076","AC022075.1"
"13077","KLRK1"
"13078","MAGOHB"
"13079","STYK1"
"13080","YBX3"
"13081","PRH1"
"13082","TAS2R10"
"13083","PRR4"
"13084","TAS2R13"
"13085","PRH2"
"13086","TAS2R14"
"13087","TAS2R20"
"13088","TAS2R19"
"13089","TAS2R31"
"13090","TAS2R46"
"13091","TAS2R30"
"13092","SMIM10L1"
"13093","AC244131.2"
"13094","LINC01252"
"13095","ETV6"
"13096","BCL2L14"
"13097","LRP6"
"13098","MANSC1"
"13099","LOH12CR2"
"13100","BORCS5"
"13101","DUSP16"
"13102","AC007619.1"
"13103","CREBL2"
"13104","GPR19"
"13105","CDKN1B"
"13106","AC008115.3"
"13107","APOLD1"
"13108","DDX47"
"13109","GPRC5A"
"13110","GPRC5D-AS1"
"13111","GPRC5D"
"13112","HEBP1"
"13113","AC023790.2"
"13114","FAM234B"
"13115","GSG1"
"13116","EMP1"
"13117","GRIN2B"
"13118","AC007535.1"
"13119","ATF7IP"
"13120","PLBD1"
"13121","AC008114.1"
"13122","PLBD1-AS1"
"13123","GUCY2C"
"13124","AC010168.1"
"13125","AC010168.2"
"13126","HIST4H4"
"13127","H2AFJ"
"13128","WBP11"
"13129","C12orf60"
"13130","SMCO3"
"13131","AC007655.2"
"13132","ART4"
"13133","MGP"
"13134","ERP27"
"13135","RERG"
"13136","RERG-AS1"
"13137","PTPRO"
"13138","EPS8"
"13139","STRAP"
"13140","DERA"
"13141","SLC15A5"
"13142","MGST1"
"13143","LMO3"
"13144","AC007529.2"
"13145","AC048352.1"
"13146","RERGL"
"13147","PIK3C2G"
"13148","PLCZ1"
"13149","AC087242.1"
"13150","CAPZA3"
"13151","PLEKHA5"
"13152","AC092828.1"
"13153","AEBP2"
"13154","AC024901.1"
"13155","LINC02398"
"13156","LINC02468"
"13157","PDE3A"
"13158","SLCO1C1"
"13159","SLCO1A2"
"13160","PYROXD1"
"13161","RECQL"
"13162","GOLT1B"
"13163","SPX"
"13164","GYS2"
"13165","LDHB"
"13166","AC010197.1"
"13167","AC010185.1"
"13168","KCNJ8"
"13169","ABCC9"
"13170","AC008250.1"
"13171","CMAS"
"13172","ST8SIA1"
"13173","AC053513.1"
"13174","C2CD5"
"13175","AC053513.2"
"13176","ETNK1"
"13177","AC084816.1"
"13178","AC087235.1"
"13179","SOX5"
"13180","SOX5-AS1"
"13181","LRMP"
"13182","AC023510.1"
"13183","AC023510.2"
"13184","CASC1"
"13185","ETFRF1"
"13186","KRAS"
"13187","AC092794.1"
"13188","AC087239.1"
"13189","LMNTD1"
"13190","RASSF8-AS1"
"13191","RASSF8"
"13192","BHLHE41"
"13193","SSPN"
"13194","AC022509.2"
"13195","AC022509.1"
"13196","AC024145.1"
"13197","ITPR2"
"13198","AC023051.1"
"13199","INTS13"
"13200","FGFR1OP2"
"13201","TM7SF3"
"13202","AC024896.1"
"13203","MED21"
"13204","AC092747.4"
"13205","AC092747.1"
"13206","STK38L"
"13207","ARNTL2"
"13208","ARNTL2-AS1"
"13209","SMCO2"
"13210","PPFIBP1"
"13211","AC087257.1"
"13212","AC009509.1"
"13213","REP15"
"13214","AC009509.4"
"13215","MRPS35"
"13216","MANSC4"
"13217","KLHL42"
"13218","AC008011.2"
"13219","CCDC91"
"13220","AC022364.1"
"13221","AC022079.1"
"13222","FAR2"
"13223","AC009318.4"
"13224","AC009318.1"
"13225","AC009318.3"
"13226","AC009318.2"
"13227","ERGIC2"
"13228","OVCH1-AS1"
"13229","OVCH1"
"13230","TMTC1"
"13231","IPO8"
"13232","CAPRIN2"
"13233","AC010198.1"
"13234","AC010198.2"
"13235","TSPAN11"
"13236","DDX11-AS1"
"13237","DDX11"
"13238","AC024940.6"
"13239","SINHCAF"
"13240","DENND5B"
"13241","AC068792.1"
"13242","DENND5B-AS1"
"13243","AC068774.1"
"13244","ETFBKMT"
"13245","AMN1"
"13246","LINC02422"
"13247","RESF1"
"13248","AC016957.2"
"13249","BICD1"
"13250","AC048344.4"
"13251","AC026356.1"
"13252","AC026356.2"
"13253","FGD4"
"13254","DNM1L"
"13255","AC084824.5"
"13256","YARS2"
"13257","AC084824.4"
"13258","PKP2"
"13259","AC087588.2"
"13260","SYT10"
"13261","AC046130.1"
"13262","ALG10"
"13263","AC046130.2"
"13264","AC140847.2"
"13265","ALG10B"
"13266","CPNE8"
"13267","CPNE8-AS1"
"13268","LINC02406"
"13269","KIF21A"
"13270","C12orf40"
"13271","SLC2A13"
"13272","LINC02471"
"13273","AC079630.1"
"13274","LRRK2"
"13275","MUC19"
"13276","CNTN1"
"13277","PDZRN4"
"13278","AC090531.1"
"13279","LINC02400"
"13280","AC090630.1"
"13281","AC006197.2"
"13282","GXYLT1"
"13283","YAF2"
"13284","PPHLN1"
"13285","ZCRB1"
"13286","PRICKLE1"
"13287","AC079601.1"
"13288","AC079600.3"
"13289","LINC02450"
"13290","AC012038.2"
"13291","AC012038.1"
"13292","LINC02461"
"13293","PUS7L"
"13294","IRAK4"
"13295","TWF1"
"13296","TMEM117"
"13297","AC025030.2"
"13298","NELL2"
"13299","ANO6"
"13300","AC079950.1"
"13301","AC008124.1"
"13302","ARID2"
"13303","SCAF11"
"13304","SLC38A1"
"13305","SLC38A2"
"13306","AC008014.1"
"13307","AC025031.4"
"13308","AC008035.1"
"13309","SLC38A4"
"13310","AMIGO2"
"13311","PCED1B"
"13312","AC008083.2"
"13313","AC008083.3"
"13314","RPAP3"
"13315","AC004241.3"
"13316","AC004241.1"
"13317","ENDOU"
"13318","RAPGEF3"
"13319","SLC48A1"
"13320","AC004241.4"
"13321","HDAC7"
"13322","AC004466.1"
"13323","LINC02354"
"13324","VDR"
"13325","AC121338.1"
"13326","TMEM106C"
"13327","SENP1"
"13328","PFKM"
"13329","ASB8"
"13330","AC024257.3"
"13331","AC024257.1"
"13332","ZNF641"
"13333","AC090115.1"
"13334","AC024257.4"
"13335","C12orf54"
"13336","KANSL2"
"13337","CCNT1"
"13338","TEX49"
"13339","ADCY6"
"13340","CACNB3"
"13341","DDX23"
"13342","RND1"
"13343","CCDC65"
"13344","FKBP11"
"13345","ARF3"
"13346","DDN"
"13347","DDN-AS1"
"13348","PRKAG1"
"13349","KMT2D"
"13350","RHEBL1"
"13351","LMBR1L"
"13352","TUBA1B"
"13353","AC011603.2"
"13354","TUBA1A"
"13355","TUBA1C"
"13356","AC010173.1"
"13357","AC125611.3"
"13358","AC125611.4"
"13359","DNAJC22"
"13360","SPATS2"
"13361","AC020612.4"
"13362","KCNH3"
"13363","MCRS1"
"13364","PRPF40B"
"13365","FAM186B"
"13366","FMNL3"
"13367","TMBIM6"
"13368","NCKAP5L"
"13369","BCDIN3D-AS1"
"13370","BCDIN3D"
"13371","AQP2"
"13372","AQP5"
"13373","AQP6"
"13374","RACGAP1"
"13375","SMARCD1"
"13376","GPD1"
"13377","COX14"
"13378","AC074032.1"
"13379","CERS5"
"13380","LIMA1"
"13381","AC008147.2"
"13382","AC008147.1"
"13383","FAM186A"
"13384","LARP4"
"13385","DIP2B"
"13386","ATF1"
"13387","TMPRSS12"
"13388","METTL7A"
"13389","AC008121.2"
"13390","HIGD1C"
"13391","AC008121.3"
"13392","SLC11A2"
"13393","LETMD1"
"13394","CSRNP2"
"13395","TFCP2"
"13396","POU6F1"
"13397","AC139768.1"
"13398","DAZAP2"
"13399","SMAGP"
"13400","BIN2"
"13401","GALNT6"
"13402","SLC4A8"
"13403","SCN8A"
"13404","AC068987.1"
"13405","AC068987.2"
"13406","FIGNL2"
"13407","AC068987.3"
"13408","FIGNL2-DT"
"13409","ACVRL1"
"13410","ACVR1B"
"13411","GRASP"
"13412","NR4A1"
"13413","AC025259.3"
"13414","ATG101"
"13415","SMIM41"
"13416","AC078864.1"
"13417","LINC00592"
"13418","KRT80"
"13419","KRT7"
"13420","KRT7-AS"
"13421","KRT86"
"13422","AC021066.1"
"13423","AC121757.2"
"13424","KRT8"
"13425","KRT18"
"13426","EIF4B"
"13427","AC068888.2"
"13428","AC068888.1"
"13429","TNS2"
"13430","SPRYD3"
"13431","IGFBP6"
"13432","SOAT2"
"13433","CSAD"
"13434","ZNF740"
"13435","ITGB7"
"13436","RARG"
"13437","MFSD5"
"13438","PFDN5"
"13439","AC073611.1"
"13440","C12orf10"
"13441","AAAS"
"13442","SP1"
"13443","PRR13"
"13444","PCBP2"
"13445","PCBP2-OT1"
"13446","MAP3K12"
"13447","AC023509.3"
"13448","TARBP2"
"13449","ATF7"
"13450","AC023509.2"
"13451","AC023509.6"
"13452","ATP5MC2"
"13453","CALCOCO1"
"13454","AC076968.2"
"13455","HOTAIR"
"13456","HOXC11"
"13457","HOXC-AS3"
"13458","HOXC10"
"13459","HOXC6"
"13460","HOXC-AS2"
"13461","HOXC9"
"13462","HOXC-AS1"
"13463","HOXC8"
"13464","HOXC4"
"13465","AC012531.1"
"13466","HOXC5"
"13467","AC023794.1"
"13468","AC023794.3"
"13469","FAM242C"
"13470","SMUG1"
"13471","LINC02381"
"13472","AC023794.6"
"13473","AC023794.2"
"13474","CBX5"
"13475","SCAT2"
"13476","AC078778.1"
"13477","HNRNPA1"
"13478","COPZ1"
"13479","ITGA5"
"13480","NCKAP1L"
"13481","PDE1B"
"13482","PPP1R1A"
"13483","TESPA1"
"13484","AC122685.1"
"13485","METTL7B"
"13486","ITGA7"
"13487","RDH5"
"13488","CD63"
"13489","GDF11"
"13490","SARNP"
"13491","AC073487.1"
"13492","ORMDL2"
"13493","DNAJC14"
"13494","MMP19"
"13495","PYM1"
"13496","DGKA"
"13497","PMEL"
"13498","CDK2"
"13499","RAB5B"
"13500","SUOX"
"13501","IKZF4"
"13502","ERBB3"
"13503","PA2G4"
"13504","AC034102.4"
"13505","ESYT1"
"13506","ZC3H10"
"13507","AC034102.6"
"13508","AC034102.5"
"13509","MYL6B"
"13510","MYL6"
"13511","SMARCC2"
"13512","AC073896.4"
"13513","RNF41"
"13514","NABP2"
"13515","SLC39A5"
"13516","ANKRD52"
"13517","COQ10A"
"13518","CS"
"13519","AC073896.2"
"13520","AC073896.3"
"13521","CNPY2"
"13522","PAN2"
"13523","STAT2"
"13524","TIMELESS"
"13525","SPRYD4"
"13526","GLS2"
"13527","RBMS2"
"13528","BAZ2A"
"13529","ATP5F1B"
"13530","PTGES3"
"13531","PRIM1"
"13532","HSD17B6"
"13533","RDH16"
"13534","NEMP1"
"13535","NAB2"
"13536","STAT6"
"13537","LRP1"
"13538","SHMT2"
"13539","STAC3"
"13540","R3HDM2"
"13541","INHBC"
"13542","AC022506.2"
"13543","GLI1"
"13544","MARS"
"13545","DDIT3"
"13546","MBD6"
"13547","DCTN2"
"13548","KIF5A"
"13549","PIP4K2C"
"13550","DTX3"
"13551","ARHGEF25"
"13552","SLC26A10"
"13553","OS9"
"13554","AC025165.2"
"13555","TSPAN31"
"13556","MARCH9"
"13557","EEF1AKMT3"
"13558","TSFM"
"13559","AVIL"
"13560","AC025165.5"
"13561","AC025165.4"
"13562","CTDSP2"
"13563","AC083805.2"
"13564","AC083805.1"
"13565","ATP23"
"13566","GIHCG"
"13567","LINC02388"
"13568","LRIG3"
"13569","AC068305.2"
"13570","SLC16A7"
"13571","TAFA2"
"13572","USP15"
"13573","MON2"
"13574","AC048341.1"
"13575","AC048341.2"
"13576","PPM1H"
"13577","AVPR1A"
"13578","AC026116.1"
"13579","DPY19L2"
"13580","AC084357.2"
"13581","RXYLT1"
"13582","SRGAP1"
"13583","AC079866.2"
"13584","AC020611.2"
"13585","AC025576.3"
"13586","C12orf66"
"13587","C12orf56"
"13588","XPOT"
"13589","TBK1"
"13590","RASSF3"
"13591","AC078962.3"
"13592","GNS"
"13593","AC025262.1"
"13594","TBC1D30"
"13595","AC025262.4"
"13596","LINC02389"
"13597","LINC02231"
"13598","LEMD3"
"13599","AC026124.2"
"13600","MSRB3"
"13601","AC026124.1"
"13602","AC025419.1"
"13603","HMGA2"
"13604","HMGA2-AS1"
"13605","AC090673.1"
"13606","LLPH"
"13607","TMBIM4"
"13608","IRAK3"
"13609","HELB"
"13610","GRIP1"
"13611","AC073530.1"
"13612","CAND1"
"13613","AC078983.1"
"13614","LINC02408"
"13615","DYRK2"
"13616","IFNG-AS1"
"13617","MDM1"
"13618","LINC02384"
"13619","RAP1B"
"13620","AC090061.1"
"13621","NUP107"
"13622","SLC35E3"
"13623","MDM2"
"13624","AC025423.1"
"13625","AC025423.4"
"13626","CPM"
"13627","CPSF6"
"13628","YEATS4"
"13629","LINC02373"
"13630","FRS2"
"13631","CCT2"
"13632","BEST3"
"13633","AC025263.1"
"13634","RAB3IP"
"13635","MYRFL"
"13636","AC025159.1"
"13637","LINC01481"
"13638","CNOT2"
"13639","KCNMB4"
"13640","AC025569.1"
"13641","PTPRB"
"13642","PTPRR"
"13643","AC025575.2"
"13644","TSPAN8"
"13645","LGR5"
"13646","ZFC3H1"
"13647","THAP2"
"13648","TMEM19"
"13649","RAB21"
"13650","TBC1D15"
"13651","TPH2"
"13652","TRHDE"
"13653","TRHDE-AS1"
"13654","LINC02445"
"13655","AC090015.1"
"13656","ATXN7L3B"
"13657","CAPS2"
"13658","AC121761.2"
"13659","GLIPR1L1"
"13660","GLIPR1L2"
"13661","AC121761.1"
"13662","KRR1"
"13663","AC078923.1"
"13664","AC078820.2"
"13665","PHLDA1"
"13666","AC011611.4"
"13667","NAP1L1"
"13668","LNCOG"
"13669","BBS10"
"13670","OSBPL8"
"13671","AC107032.2"
"13672","ZDHHC17"
"13673","CSRP2"
"13674","E2F7"
"13675","NAV3"
"13676","AC073571.1"
"13677","AC128707.1"
"13678","SYT1"
"13679","AC090709.1"
"13680","AC027288.3"
"13681","AC027288.1"
"13682","PAWR"
"13683","AC073569.2"
"13684","PPP1R12A"
"13685","AC073569.1"
"13686","PPP1R12A-AS1"
"13687","OTOGL"
"13688","PTPRQ"
"13689","AC074031.1"
"13690","LIN7A"
"13691","ACSS3"
"13692","AC078955.1"
"13693","PPFIA2"
"13694","PPFIA2-AS1"
"13695","AC069228.1"
"13696","CCDC59"
"13697","METTL25"
"13698","AC089998.4"
"13699","AC089998.1"
"13700","AC091214.1"
"13701","TMTC2"
"13702","SLC6A15"
"13703","TSPAN19"
"13704","LRRIQ1"
"13705","ALX1"
"13706","RASSF9"
"13707","MGAT4C"
"13708","LINC02258"
"13709","C12orf29"
"13710","CEP290"
"13711","TMTC3"
"13712","KITLG"
"13713","AC024941.2"
"13714","LINC02458"
"13715","DUSP6"
"13716","AC010201.3"
"13717","AC010201.2"
"13718","AC010201.1"
"13719","POC1B"
"13720","GALNT4"
"13721","POC1B-AS1"
"13722","AC025034.1"
"13723","ATP2B1"
"13724","AC009522.1"
"13725","LINC02822"
"13726","LUM"
"13727","DCN"
"13728","LINC01619"
"13729","AC025164.1"
"13730","LINC02391"
"13731","LINC02397"
"13732","C12orf74"
"13733","EEA1"
"13734","LINC02413"
"13735","AC138123.1"
"13736","AC138123.2"
"13737","LINC02412"
"13738","AC124947.1"
"13739","NUDT4"
"13740","UBE2N"
"13741","MRPL42"
"13742","SOCS2-AS1"
"13743","SOCS2"
"13744","CRADD"
"13745","AC012085.2"
"13746","AC012464.1"
"13747","AC012464.3"
"13748","PLXNC1"
"13749","AC073655.1"
"13750","AC073655.2"
"13751","CEP83"
"13752","TMCC3"
"13753","NDUFA12"
"13754","NR2C1"
"13755","FGD6"
"13756","VEZT"
"13757","METAP2"
"13758","USP44"
"13759","NTN4"
"13760","AC090001.1"
"13761","LINC02410"
"13762","SNRPF"
"13763","CCDC38"
"13764","AMDHD1"
"13765","HAL"
"13766","AC007298.2"
"13767","LTA4H"
"13768","LINC02452"
"13769","ELK3"
"13770","AC008149.2"
"13771","CDK17"
"13772","AC007513.1"
"13773","CFAP54"
"13774","NEDD1"
"13775","AC007656.2"
"13776","RMST"
"13777","AC016152.1"
"13778","LINC02453"
"13779","TMPO-AS1"
"13780","TMPO"
"13781","SLC25A3"
"13782","IKBIP"
"13783","APAF1"
"13784","ANKS1B"
"13785","AC069437.1"
"13786","AC117377.1"
"13787","UHRF1BP1L"
"13788","ACTR6"
"13789","DEPDC4"
"13790","SCYL2"
"13791","SLC17A8"
"13792","NR1H4"
"13793","GAS2L3"
"13794","ANO4"
"13795","SLC5A8"
"13796","UTP20"
"13797","ARL1"
"13798","CHPT1"
"13799","SYCP3"
"13800","GNPTAB"
"13801","DRAM1"
"13802","AC079907.2"
"13803","WASHC3"
"13804","AC079907.1"
"13805","NUP37"
"13806","PARPBP"
"13807","HELLPAR"
"13808","LINC02456"
"13809","IGF1"
"13810","PAH"
"13811","C12orf42"
"13812","STAB2"
"13813","AC025265.1"
"13814","NT5DC3"
"13815","AC012555.2"
"13816","HSP90B1"
"13817","C12orf73"
"13818","TDG"
"13819","GLT8D2"
"13820","HCFC2"
"13821","NFYB"
"13822","TXNRD1"
"13823","AC089983.1"
"13824","EID3"
"13825","CHST11"
"13826","SLC41A2"
"13827","AC089985.1"
"13828","C12orf45"
"13829","ALDH1L2"
"13830","WASHC4"
"13831","APPL2"
"13832","C12orf75"
"13833","AC011313.1"
"13834","CASC18"
"13835","NUAK1"
"13836","AC011595.1"
"13837","CKAP4"
"13838","AC079174.2"
"13839","TCP11L2"
"13840","POLR3B"
"13841","AC079385.1"
"13842","RIC8B"
"13843","AC007695.1"
"13844","AC007541.1"
"13845","TMEM263"
"13846","MTERF2"
"13847","CRY1"
"13848","AC078929.1"
"13849","BTBD11"
"13850","PWP1"
"13851","PRDM4"
"13852","AC007622.2"
"13853","WSCD2"
"13854","CMKLR1"
"13855","FICD"
"13856","SART3"
"13857","AC008119.1"
"13858","ISCU"
"13859","AC007569.1"
"13860","CORO1C"
"13861","SSH1"
"13862","DAO"
"13863","SVOP"
"13864","USP30"
"13865","ALKBH2"
"13866","UNG"
"13867","AC007637.1"
"13868","ACACB"
"13869","MYO1H"
"13870","KCTD10"
"13871","UBE3B"
"13872","MMAB"
"13873","MVK"
"13874","FAM222A"
"13875","FAM222A-AS1"
"13876","TRPV4"
"13877","GLTP"
"13878","TCHP"
"13879","GIT2"
"13880","ANKRD13A"
"13881","C12orf76"
"13882","AC007546.1"
"13883","IFT81"
"13884","ATP2A2"
"13885","ANAPC7"
"13886","ARPC3"
"13887","GPN3"
"13888","FAM216A"
"13889","VPS29"
"13890","RAD9B"
"13891","PPTC7"
"13892","TCTN1"
"13893","HVCN1"
"13894","PPP1CC"
"13895","CCDC63"
"13896","CUX2"
"13897","PHETA1"
"13898","LINC02356"
"13899","SH2B3"
"13900","ATXN2"
"13901","BRAP"
"13902","ACAD10"
"13903","ALDH2"
"13904","MAPKAPK5-AS1"
"13905","MAPKAPK5"
"13906","TMEM116"
"13907","ERP29"
"13908","AC073575.2"
"13909","NAA25"
"13910","AC073575.1"
"13911","TRAFD1"
"13912","HECTD4"
"13913","RPL6"
"13914","PTPN11"
"13915","OAS1"
"13916","AC004551.1"
"13917","OAS3"
"13918","DTX1"
"13919","RASAL1"
"13920","CFAP73"
"13921","DDX54"
"13922","RITA1"
"13923","AC089999.1"
"13924","IQCD"
"13925","TPCN1"
"13926","AC089999.2"
"13927","SLC8B1"
"13928","PLBD2"
"13929","SDSL"
"13930","LINC01234"
"13931","RBM19"
"13932","AC009731.1"
"13933","AC073863.1"
"13934","TBX3"
"13935","AC026765.3"
"13936","MED13L"
"13937","AC130895.1"
"13938","AC079384.1"
"13939","LINC02457"
"13940","LINC00173"
"13941","MAP1LC3B2"
"13942","C12orf49"
"13943","RNFT2"
"13944","HRK"
"13945","FBXW8"
"13946","AC083806.2"
"13947","AC127164.1"
"13948","AC026368.1"
"13949","TESC"
"13950","TESC-AS1"
"13951","FBXO21"
"13952","NOS1"
"13953","KSR2"
"13954","RFC5"
"13955","WSB2"
"13956","VSIG10"
"13957","AC131238.1"
"13958","PEBP1"
"13959","TAOK3"
"13960","SUDS3"
"13961","AC026367.2"
"13962","HSPB8"
"13963","AC084880.3"
"13964","LINC00934"
"13965","CCDC60"
"13966","AC002070.1"
"13967","TMEM233"
"13968","PRKAB1"
"13969","CIT"
"13970","AC002563.1"
"13971","BICDL1"
"13972","RAB35"
"13973","AC004812.2"
"13974","GCN1"
"13975","RPLP0"
"13976","PXN-AS1"
"13977","PXN"
"13978","AC004263.2"
"13979","AC004263.1"
"13980","SIRT4"
"13981","MSI1"
"13982","COX6A1"
"13983","TRIAP1"
"13984","GATC"
"13985","SRSF9"
"13986","DYNLL1"
"13987","NRAV"
"13988","COQ5"
"13989","RNF10"
"13990","POP5"
"13991","AC125616.1"
"13992","CABP1"
"13993","MLEC"
"13994","UNC119B"
"13995","ACADS"
"13996","AC069234.1"
"13997","SPPL3"
"13998","HNF1A-AS1"
"13999","HNF1A"
"14000","C12orf43"
"14001","P2RX4"
"14002","CAMKK2"
"14003","ANAPC5"
"14004","RNF34"
"14005","KDM2B"
"14006","KDM2B-DT"
"14007","ORAI1"
"14008","MORN3"
"14009","TMEM120B"
"14010","RHOF"
"14011","LINC01089"
"14012","AC084018.1"
"14013","AC084018.2"
"14014","SETD1B"
"14015","HPD"
"14016","PSMD9"
"14017","WDR66"
"14018","AC069503.1"
"14019","BCL7A"
"14020","AC156455.1"
"14021","MLXIP"
"14022","LRRC43"
"14023","DIABLO"
"14024","VPS33A"
"14025","CLIP1"
"14026","CLIP1-AS1"
"14027","ZCCHC8"
"14028","RSRC2"
"14029","KNTC1"
"14030","AC026333.3"
"14031","HCAR1"
"14032","DENR"
"14033","CCDC62"
"14034","HIP1R"
"14035","VPS37B"
"14036","AC027290.1"
"14037","ABCB9"
"14038","OGFOD2"
"14039","ARL6IP4"
"14040","PITPNM2"
"14041","MPHOSPH9"
"14042","C12orf65"
"14043","CDK2AP1"
"14044","SBNO1"
"14045","SBNO1-AS1"
"14046","KMT5A"
"14047","RILPL2"
"14048","SNRNP35"
"14049","RILPL1"
"14050","AC145423.2"
"14051","AC145423.3"
"14052","TMED2-DT"
"14053","TMED2"
"14054","DDX55"
"14055","EIF2B1"
"14056","GTF2H3"
"14057","TCTN2"
"14058","ATP6V0A2"
"14059","AC117503.5"
"14060","DNAH10"
"14061","CCDC92"
"14062","DNAH10OS"
"14063","AC068790.7"
"14064","AC068790.4"
"14065","AC068790.3"
"14066","AC068790.2"
"14067","AC068790.5"
"14068","ZNF664"
"14069","RFLNA"
"14070","AC068790.9"
"14071","NCOR2"
"14072","AC073592.1"
"14073","SCARB1"
"14074","AC073593.2"
"14075","DHX37"
"14076","BRI3BP"
"14077","AACS"
"14078","LINC00939"
"14079","LINC02826"
"14080","AC007368.1"
"14081","LINC02347"
"14082","LINC00944"
"14083","LINC02405"
"14084","AC079949.3"
"14085","AC079949.1"
"14086","AC079949.2"
"14087","AC068787.5"
"14088","AC025160.1"
"14089","TMEM132C"
"14090","SLC15A4"
"14091","GLT1D1"
"14092","TMEM132D"
"14093","FZD10-AS1"
"14094","PIWIL1"
"14095","RIMBP2"
"14096","AC063926.1"
"14097","STX2"
"14098","AC073912.1"
"14099","RAN"
"14100","ADGRD1"
"14101","LINC01257"
"14102","SFSWAP"
"14103","MMP17"
"14104","ULK1"
"14105","AC131009.1"
"14106","PUS1"
"14107","EP400"
"14108","DDX51"
"14109","NOC4L"
"14110","LINC02361"
"14111","GALNT9"
"14112","AC148477.2"
"14113","AC148477.4"
"14114","AC148476.1"
"14115","FBRSL1"
"14116","LRCOL1"
"14117","POLE"
"14118","PXMP2"
"14119","PGAM5"
"14120","ANKLE2"
"14121","GOLGA3"
"14122","CHFR"
"14123","AC127070.2"
"14124","ZNF605"
"14125","ZNF26"
"14126","ZNF84-DT"
"14127","ZNF84"
"14128","ZNF140"
"14129","ZNF891"
"14130","ZNF10"
"14131","ZNF268"
"14132","TPTE2"
"14133","MPHOSPH8"
"14134","PSPC1"
"14135","ZMYM5"
"14136","AL355001.1"
"14137","AL355001.2"
"14138","ZMYM2"
"14139","GJA3"
"14140","GJB2"
"14141","CRYL1"
"14142","AL590096.1"
"14143","IFT88"
"14144","IL17D"
"14145","EEF1AKMT1"
"14146","AL512652.1"
"14147","XPO4"
"14148","LATS2"
"14149","LATS2-AS1"
"14150","SAP18"
"14151","MRPL57"
"14152","LINC00539"
"14153","ZDHHC20"
"14154","MICU2"
"14155","FGF9"
"14156","AL136962.1"
"14157","LINC00621"
"14158","AL157931.1"
"14159","SGCG"
"14160","SACS"
"14161","LINC00327"
"14162","TNFRSF19"
"14163","MIPEP"
"14164","PCOTH"
"14165","SPATA13"
"14166","SPATA13-AS1"
"14167","C1QTNF9"
"14168","PARP4"
"14169","ATP12A"
