"","c..AL627309.1....AL627309.5....LINC01409....LINC01128....LINC00115..."
"517","LSM10"
"518","OSCP1"
"519","MRPS15"
"520","AL353604.1"
"521","LINC01137"
"522","ZC3H12A"
"523","MEAF6"
"524","SNIP1"
"525","DNALI1"
"526","GNL2"
"527","C1orf109"
"528","CDCA8"
"529","EPHA10"
"530","MANEAL"
"531","YRDC"
"532","C1orf122"
"533","MTF1"
"534","INPP5B"
"535","SF3A3"
"536","FHL3"
"537","UTP11"
"538","MIR3659HG"
"539","RRAGC"
"540","AL139260.1"
"541","MYCBP"
"542","GJA9"
"543","RHBDL2"
"544","AKIRIN1"
"545","NDUFS5"
"546","MACF1"
"547","AL356055.1"
"548","AL442071.2"
"549","AL442071.1"
"550","BMP8A"
"551","PABPC4"
"552","PABPC4-AS1"
"553","HEYL"
"554","NT5C1A"
"555","HPCAL4"
"556","PPIE"
"557","BMP8B"
"558","OXCT2"
"559","AL033527.3"
"560","AL033527.4"
"561","TRIT1"
"562","MFSD2A"
"563","CAP1"
"564","PPT1"
"565","RLF"
"566","AL050341.2"
"567","ZMPSTE24"
"568","COL9A2"
"569","SMAP2"
"570","ZFP69B"
"571","ZFP69"
"572","AL603839.3"
"573","EXO5"
"574","ZNF684"
"575","AL356379.2"
"576","RIMS3"
"577","AL031289.1"
"578","NFYC-AS1"
"579","NFYC"
"580","KCNQ4"
"581","CITED4"
"582","CTPS1"
"583","SLFNL1-AS1"
"584","SLFNL1"
"585","SCMH1"
"586","AC093151.8"
"587","AC093151.3"
"588","FOXO6"
"589","AC093151.2"
"590","EDN2"
"591","HIVEP3"
"592","FOXJ3"
"593","RIMKLA"
"594","ZMYND12"
"595","PPCS"
"596","CCDC30"
"597","PPIH"
"598","AC098484.4"
"599","CLDN19"
"600","P3H1"
"601","C1orf50"
"602","TMEM269"
"603","SVBP"
"604","ERMAP"
"605","AL512353.1"
"606","ZNF691"
"607","SLC2A1"
"608","SLC2A1-AS1"
"609","FAM183A"
"610","EBNA1BP2"
"611","CFAP57"
"612","TMEM125"
"613","C1orf210"
"614","TIE1"
"615","AL139289.2"
"616","ELOVL1"
"617","MED8"
"618","SZT2"
"619","SZT2-AS1"
"620","HYI"
"621","PTPRF"
"622","KDM4A"
"623","KDM4A-AS1"
"624","ST3GAL3"
"625","AL451062.1"
"626","ARTN"
"627","AL357079.1"
"628","IPO13"
"629","DPH2"
"630","ATP6V0B"
"631","B4GALT2"
"632","CCDC24"
"633","SLC6A9"
"634","AL139220.2"
"635","DMAP1"
"636","ERI3"
"637","RNF220"
"638","TMEM53"
"639","ARMH1"
"640","KIF2C"
"641","AL592166.1"
"642","RPS8"
"643","BEST4"
"644","PLK3"
"645","TCTEX1D4"
"646","BTBD19"
"647","PTCH2"
"648","EIF2B3"
"649","HECTD3"
"650","UROD"
"651","ZSWIM5"
"652","LINC01144"
"653","MUTYH"
"654","TOE1"
"655","TESK2"
"656","MMACHC"
"657","PRDX1"
"658","AKR1A1"
"659","NASP"
"660","CCDC17"
"661","GPBP1L1"
"662","TMEM69"
"663","IPP"
"664","AL604028.1"
"665","MAST2"
"666","PIK3R3"
"667","AL358075.2"
"668","TSPAN1"
"669","POMGNT1"
"670","LURAP1"
"671","RAD54L"
"672","LRRC41"
"673","UQCRH"
"674","NSUN4"
"675","FAAH"
"676","MKNK1-AS1"
"677","MKNK1"
"678","MOB3C"
"679","ATPAF1"
"680","TEX38"
