Index,Data_Type,Cluster_Label,Silhouette_Score
PDZRN3,Train,1,-0.05412685594249091
CSRNP1,Train,0,0.928741132713959
GRM7-AS1,Train,0,0.9475607527951764
LINC00624,Train,0,0.9459656983455291
AC131159.2,Train,0,0.9463986505187839
TP53I11,Train,0,0.9361183665277361
ARMH1,Train,0,0.9289717847177908
RARRES1,Train,0,0.7296996988906399
LINC01970,Train,0,0.9470783652767644
PCBD2,Train,0,0.6450606271970805
LINC02324,Train,0,0.9469597568410062
CSGALNACT2,Train,0,0.886878231569556
AC005034.6,Train,0,0.9474483447657152
FLRT2,Train,0,0.8734904407764068
MCF2L-AS1,Train,0,0.9469497902089731
AC110296.1,Train,0,0.8604511530586736
IDO1,Train,0,0.9478222825789164
EXTL3-AS1,Train,0,0.9477072573110652
AL021918.3,Train,0,0.9467281701129278
YEATS2-AS1,Train,0,0.947109664858859
LINC01474,Train,0,0.9477586268721586
CCDC68,Train,0,0.9340673514384401
LINC02009,Train,0,0.9476316299056426
VGLL3,Train,0,0.930762110094722
AC127496.1,Train,0,0.946792406299018
NBEAL1,Train,1,0.5110250507431174
AC137695.3,Train,0,0.9463662928837748
RAB23,Train,0,0.9412378887217513
AC009803.1,Train,0,0.9469370708570553
COPS9,Train,0,0.9478019018736764
PWWP3B,Train,0,0.9440126188904483
ARL15,Train,1,0.2919220236957063
AC009754.2,Train,0,0.9476048192442572
WDFY1,Train,0,0.8202957315357636
TIMM10B,Train,0,0.9478107804081035
RSPH10B2,Train,0,0.9470265906535209
SMPDL3A,Train,0,0.9474900226019339
AC008982.2,Train,0,0.9480519907311898
ZNF529,Train,0,0.8986276971976971
ADD2,Train,0,0.947604930641963
Z99774.1,Train,0,0.9464591475289534
PMS1,Train,0,0.8524431684583357
PRADC1,Train,0,0.9476541208260034
AC023137.1,Train,0,0.9465639989556363
TIMM13,Train,0,0.9463226065272883
FNDC4,Train,0,0.9477173028440714
AC109454.2,Train,0,0.9479717432763259
AC104411.1,Train,0,0.947460229011192
PIEZO1,Train,0,0.8789764938399202
AURKB,Train,0,0.9469266310211379
SHH,Train,0,0.9471128497561567
ATP5MPL,Train,0,0.9372306308474861
CACNA2D4,Train,0,0.9477539151658587
C1orf143,Train,0,0.9474489486469786
TRMT2A,Train,0,0.9457521653737229
DMRT2,Train,0,0.9402916487916625
AC244517.5,Train,0,0.9467275842449323
CPS1,Train,0,0.9112951234083965
CCL25,Train,0,0.946487766780039
TCIRG1,Train,0,0.9401726951649987
RGPD5,Train,0,0.9441773667207136
GNAZ,Train,0,0.9480436170025102
LPXN,Train,0,0.8817359901652468
AC095050.1,Train,0,0.9474445562039859
ADAMTS12,Train,0,0.8867438374745615
CYP17A1,Train,0,0.94745393495141
COL3A1,Train,0,0.8403871082548273
AC130371.2,Train,0,0.9472921368708478
KLHL3,Train,0,0.7366741723076616
AP000866.2,Train,0,0.9481652519294826
WDR44,Train,0,0.7352436516212069
MAPK10,Train,1,0.359157322736611
AL158166.2,Train,0,0.9469402258880393
AL352979.4,Train,0,0.9466522944647424
AL353748.3,Train,0,0.9481368997700241
AL031663.2,Train,0,0.9464182386331208
FAM216A,Train,0,0.9472050199624705
TRIB1,Train,0,0.907794630909871
MED8,Train,0,0.9474432596256238
RBM17,Train,0,0.7412692380606235
VWDE,Train,0,0.9446014972608955
KIAA1257,Train,0,0.9443850437295023
FAM189A2,Train,0,0.9271896104939511
C2CD4A,Train,0,0.947309242405586
LINC02728,Train,0,0.9481627372509858
AL355531.1,Train,0,0.9467954774852898
C9orf64,Train,0,0.9468385582796813
C15orf48,Train,0,0.9474044438524089
AC087292.1,Train,0,0.9464216692063625
LINC02804,Train,0,0.948115869279148
C1orf122,Train,0,0.947706347533254
CCL14,Train,0,0.9480051222600803
GMEB2,Train,0,0.9296591664295233
LINC02362,Train,0,0.9480475202129055
SERTAD1,Train,0,0.9477930747954393
MEF2B,Train,0,0.9053233433055853
PAQR8,Train,0,0.9480353326629494
MRPL46,Train,0,0.9478546291198463
ARCN1,Train,0,0.9303593366439334
RGPD4-AS1,Train,0,0.9464647925632809
MRVI1,Train,0,0.917843985468137
CDCA2,Train,0,0.9471607000743433
AC069234.5,Train,0,0.946360547046799
AC105285.1,Train,0,0.9461318342847715
VPS13A,Train,1,0.4391941391818718
WAKMAR2,Train,0,0.9475207830503215
RFX4,Train,0,0.9477193640524825
AC116428.1,Train,0,0.9480871162210605
COX6A1,Train,0,0.9434232964146425
AC007655.2,Train,0,0.9474554065505558
DNM1L,Train,0,0.6284998712825588
MTOR,Train,0,0.774667369361662
DCAF7,Train,0,0.7645346226853441
GPR180,Train,0,0.9338619849663331
LINC01687,Train,0,0.948107588674346
CCDC93,Train,0,0.7132069779396945
GTF2A2,Train,0,0.9442089372961628
IFITM2,Train,0,0.9448956344711531
TWIST1,Train,0,0.947915492052488
AKAP9,Train,1,0.49423305488791625
PYGO1,Train,0,0.9411073161921524
MORC3,Train,0,0.7126243611890022
FAH,Train,0,0.9395460775637516
EFEMP1,Train,0,0.8403981705726477
PPIG,Train,1,-0.09257911646159953
AC008124.1,Train,0,0.9405442494148857
AC104803.1,Train,0,0.9464118185982895
KRT17,Train,0,0.9471291667550027
AC026356.1,Train,0,0.9471020711689208
GTF3C1,Train,0,0.8737301973682574
ZNF300,Train,0,0.9437407962910753
ZNF345,Train,0,0.879114979731808
AC020900.1,Train,0,0.9466841403856663
FMO1,Train,0,0.8840413220397698
JTB,Train,0,0.9429188482874087
APBB1,Train,0,0.9378239105533216
MRPL50,Train,0,0.9475434066928002
AC022075.1,Train,0,0.9403900266478226
TRMT44,Train,0,0.9249944207148755
CHROMR,Train,0,0.9327084042316186
LINC01068,Train,0,0.9473737028553908
AKR7A3,Train,0,0.9481112467020567
SLC39A5,Train,0,0.9322274301438142
AL136295.6,Train,0,0.947142697789969
WFDC5,Train,0,0.9466486974279744
MZF1,Train,0,0.8562682186481791
DPY19L2,Train,0,0.6571983381750942
AP004550.1,Train,0,0.9480908203032763
AC015660.3,Train,0,0.9468440153853701
RPS27,Train,0,0.9293948107615219
RPAIN,Train,0,0.9141444664082025
AP001107.2,Train,0,0.9464647186117383
AC096577.1,Train,1,0.48013827915697554
AC018410.1,Train,0,0.9467345896584105
ENG,Train,0,0.868555958474501
PCMT1,Train,0,0.8798097665408359
AL136361.1,Train,0,0.9465280407915518
RARA,Train,0,0.9369003667961406
AF130417.1,Train,0,0.947245974729307
RSL24D1,Train,0,0.9441085716155754
OR2T35,Train,0,0.9473338025176075
DDX6,Train,0,0.7105430615382546
HSPE1,Train,0,0.9448535697641175
PRXL2B,Train,0,0.9479745284893922
BX323043.1,Train,0,0.9470992256959903
SLC25A21,Train,0,0.8597404067560382
ATL1,Train,0,0.9280258586683522
AC068196.1,Train,0,0.9465971514024069
ADORA2A-AS1,Train,0,0.9151764321953838
IQCG,Train,0,0.9232030430278577
AC008080.3,Train,0,0.9472447873147108
LINC01477,Train,0,0.9463914865283708
LINC00934,Train,0,0.9467467455846666
AL138999.1,Train,0,0.94636998519888
ZNF134,Train,0,0.9472307015425336
AC007336.1,Train,0,0.9481276289011528
CCNQ,Train,0,0.9475655400512187
G3BP2,Train,0,0.8278784806775168
CNTNAP1,Train,0,0.9474041438307611
JAM3,Train,0,0.9053647975744801
AC004593.2,Train,0,0.9470735982798486
MIR29B2CHG,Train,0,0.46429544500612563
RTP3,Train,0,0.9464012704460678
AC007292.3,Train,0,0.9481912141804913
AP001160.2,Train,0,0.9468349061842883
MYO7A,Train,0,0.9443625168108581
DARS,Train,0,0.5860907008874814
NUCB1-AS1,Train,0,0.9456167959319693
H2AFY2,Train,0,0.9115783988033201
LINC02805,Train,0,0.9469451930668397
CKAP4,Train,0,0.9344122315704786
PPA1,Train,0,0.8516211630468535
SNHG26,Train,0,0.9464057355204272
AC090772.1,Train,0,0.9476786367796768
AL031674.1,Train,0,0.946409416960227
SDC3,Train,0,0.9415522830643406
RNF112,Train,0,0.9473170461739311
LTN1,Train,0,0.7510602465907469
APOBEC2,Train,0,0.9478707732419739
AFF4,Train,1,0.442768426298487
IFI27L1,Train,0,0.944534283867061
METTL17,Train,0,0.9346952175064529
LINC02378,Train,0,0.9465122617103604
ATG4C,Train,0,0.8718467993987422
ELOVL2-AS1,Train,0,0.9469128941242629
BX005266.2,Train,0,0.9465087755194536
MAIP1,Train,0,0.9405823186204094
AC046158.1,Train,0,0.9471028792141413
CCT6B,Train,0,0.9440114388507992
AC099521.1,Train,0,0.9466622904316043
SCN2A,Train,1,0.2761349267224074
AC098679.5,Train,0,0.9467034295671934
AC016573.1,Train,0,0.9463597779791754
LINC02163,Train,0,0.9473891537384244
CD69,Train,0,0.9475306334664695
SIGIRR,Train,0,0.9195935232660515
LACC1,Train,0,0.9467443476812184
PRSS57,Train,0,0.9463687486092263
TTC39A-AS1,Train,0,0.9480115637385944
PDE11A,Train,0,0.9308284639002822
DACH2,Train,0,0.9314289372239176
PKNOX1,Train,0,0.8541601129896084
AP005203.1,Train,0,0.9473428657893262
TP53I13,Train,0,0.9246983465639073
CAPN2,Train,0,0.7552836341374027
