,PC1,PC2
LINC02391,7.801589281876525,-0.8038128641967274
PXN,38.05686010367495,-7.483933496830138
AC087645.2,2.1560450247302096,-0.6907442829328744
ZDHHC20,83.52960286628674,-21.210336016809933
IGFBP4,33.51126084091755,-31.274839113492003
PER2,40.31159829628131,-25.332339246850324
MAPRE2,31.164622199957954,-11.626983573854481
ZNF117,19.470859747524354,-4.177870407571365
MATN4,0.31449558979697706,-0.18062642704784718
MYPN,0.3610815229488719,-0.10914941225698306
PIGN,81.91014922308432,-20.31687220495332
TSPO,6.309257599416662,-2.4238831998909705
LINC01364,0.04514781800547899,-0.023945821972421868
HOXB7,5.933531567450104,0.5403746495383468
AL021707.1,10.449959910743894,-3.217064571869328
GDPGP1,2.9289025481030513,-0.42808446050715143
AC062022.2,0.009806359645459756,-0.005208206253625889
AC073270.1,0.011400653973107024,-0.0031008118374467116
AC099066.1,0.6536095217184559,-0.9899175391109734
AL133477.2,0.3458069934802881,0.021226204557867515
RNF44,8.969589654956591,-5.235675402048492
AL136988.2,1.0307505900278375,-0.5830035166277886
SLC26A11,19.65999609798119,-7.524179228037566
GDPD2,0.5832765383285713,0.1484544226722051
ANGPT2,13.876676763339285,-7.981697804441759
AP005432.1,1.998481526335043,-0.1070059069413144
AC107050.1,0.13358432284258573,-0.085744826024436
EPB41,110.9358341069218,-57.662632832370996
LINC01144,0.29076862920549834,-0.06122806183187419
SCX,2.243506890920924,-0.7443946863508749
PEX6,14.12873572338485,-6.348140995845494
LRCOL1,0.4717722350600091,-0.29433562951463593
RPS15,8.005328215774936,-2.500290908069961
PLPP5,10.71761322464395,-0.7121009819163617
DOCK8,86.41010554572294,-73.5128757265387
RASSF10-DT,2.268077167751963,0.5910766144883606
AL731533.3,0.22366228787478729,-0.1529931744573609
ZNF552,21.24795062075132,-0.7569639706931348
AGBL4,395.4907245382065,-160.294375543038
AC104260.1,0.19320786718938607,-0.1758229737822439
TEF,11.812959254524982,-3.1422469511388598
AC124067.2,0.21554497062024355,-0.0683064569747843
UGCG,231.0715657498971,-244.92691012929006
AC093904.4,0.5370281526487746,-0.06103471541830909
AC074032.1,40.43056111761744,-11.33027098551969
AC010343.3,4.049839219039783,-1.5086101677113621
LINC02823,0.04078374498190309,-0.0483472667566082
NUTM2B-AS1,112.2626522045692,-34.69896250553765
USP12-AS2,0.23587457377697263,-0.05375650086599772
AL360091.1,0.013822499004621909,0.000284098079851007
AC104232.2,0.04326890245067676,0.009615338297006944
AC123912.1,8.810576477599398,-1.8255366520923437
INVS,175.1137529338988,-69.68639204134284
RORA-AS2,0.06138974386942019,-0.005374749000982431
LARP4B,166.60742523149486,-51.69115664417018
AC079949.1,0.46418613106397477,-0.12731656392223592
NLRX1,5.865577468454996,-3.075835431551978
AC103987.2,0.012972193709006277,0.0020948870540802985
MINK1,46.60934010915003,-20.26643190560184
AC012325.1,0.041345205930859774,-0.028383258909412214
AC025164.1,2.8213064522893596,0.7487724143905662
DRP2,0.3826202964355405,-0.27176529419137413
AC006042.2,1.0867447452808943,-0.1254417827694521
AL133243.2,5.573167321244741,-1.3872267103758416
CLUH,34.607050503969674,-9.96868084634239
TUBB4A,0.32343681227840854,-0.1308795048851319
GPRC5D,1.0902655720541978,-0.2138191193678991
DMRTC1,0.011902650296360603,-0.015588587192035782
AL390294.1,0.2956117208645951,0.05576770923893596
TMEM252,1.0173459436776295,-0.8069230749936483
KLHL7-DT,0.14343933619361016,0.027747226736304167
LINC00491,0.30330324938271574,-0.1633801870099981
AL354928.1,0.1356124331171284,-0.05887833698198718
PDZRN3,134.58964711382148,-38.41652101243371
CSRNP1,12.47474171687251,-8.187962156169407
GRM7-AS1,0.678997174646924,-0.14791301978978655
LINC00624,5.47782656650978,-1.237236884913729
AC131159.2,0.01709362395181447,-0.010404003211714105
TP53I11,5.6955203466618,-7.901628931115798
ARMH1,14.750441088540377,-3.2192825257480635
RARRES1,56.98142601146994,-29.233307860497785
LINC01970,0.2965379554964052,-0.1105092057779196
PCBD2,76.20036766394709,-16.648796540720102
LINC02324,0.2172378108259039,-0.1824156653327424
CSGALNACT2,26.735648785369634,-12.496643555981137
AC005034.6,0.5627898834736151,-0.14447817191500759
FLRT2,25.329993014349522,-20.30853530366452
MCF2L-AS1,0.30228999981275717,0.02239332493095866
AC110296.1,34.39104267613328,6.301234414083275
IDO1,0.8810567574478377,-0.455966860121159
EXTL3-AS1,0.7479249676526842,-0.3589179775542426
AL021918.3,0.12256554535112167,-0.08718740200706264
YEATS2-AS1,0.301520802172323,-0.15681811695180775
LINC01474,0.8485652886456443,-0.6036351579758085
CCDC68,11.360710491609805,-5.989989209631525
LINC02009,0.7194960300713823,-0.5802632371235424
VGLL3,12.097838482693719,-7.3767016011122255
AC127496.1,0.14242622751931777,-0.14529582394580015
NBEAL1,261.4249357346944,-70.50916042047068
AC137695.3,0.012488396927005525,0.005615108693087888
RAB23,7.321609796919821,-4.854012147093027
AC009803.1,0.215509167048648,-0.11374523235348173
COPS9,3.2560058868322628,-0.8143647381403157
PWWP3B,6.963127448378029,-2.4232450011501614
ARL15,764.8114948314171,-190.11009980369823
AC009754.2,0.6803533179338157,-0.21659006539885603
WDFY1,43.27268209438061,-16.25253411147552
TIMM10B,3.2892753150878695,-1.1537723021644037
RSPH10B2,0.2719461105232337,-0.09404698866562239
SMPDL3A,3.812079126114165,-1.0551226991914133
AC008982.2,1.5264301882452893,-0.9552437080337183
ZNF529,24.54545719643407,-8.834073613181335
ADD2,0.6655044777181451,-0.24771813843503374
